date: 30.09.2022     time: 22:22:23     action: 5j / 45 = 0.1111111111111111j
date: 30.09.2022     time: 22:22:56     action: 23 / 0 = False
date: 30.09.2022     time: 22:23:54     action: (3-5j) / 0 = False
date: 01.10.2022     time: 16:07:32     action: 4/7 * (4+5j) = (2.2857142857142856+2.8571428571428568j)
date: 09.10.2022     time: 12:34:19     action: 2 * 2 = 4
date: 11.10.2022     time: 00:01:13     action: 3 + 3 = 6
date: 11.10.2022     time: 20:19:48     action: 17/29 / (85-96j) = (0.0030306907248279637+0.0034228977598057j)
date: 11.10.2022     time: 20:21:00     action: 56 * 89 = 4984
date: 11.10.2022     time: 20:23:41     action: 5/3 * 9/8 = 15/8
date: 11.10.2022     time: 20:24:29     action: (5+2j) + (4-27j) = (9-25j)
date: 11.10.2022     time: 20:27:44     action: 67 / 0 = на ноль делить нельзя!
date: 11.10.2022     time: 20:35:12     action: (4+7j) / 0 = на ноль делить нельзя!
